date,strategy,strategy_label,strategy_description,top1_player,top1_team,top1_opponent,top1_probability,top1_bob_score,top1_expected_pa,top1_lineup_slot,top1_stop_count,top1_pickable,top1_publisher,top1_result_hit,top1_decision,top1_hit,top2_pair,top2_publisher_count,top2_pick1_player,top2_pick1_publisher,top2_pick1_hit,top2_pick2_player,top2_pick2_publisher,top2_pick2_hit,top2_decision,top2_any_hit,top2_both_hit
2025-04-25,bob_score_volume_floor,Bob score with volume floor,Primary Bob score baseline after a PA volume floor.,Jackson Chourio,MIL,STL,0.6971920761889963,66.85,4.7,2.0,5,N,False,1,True,True,Jackson Chourio + Francisco Lindor,0,Jackson Chourio,False,1,Francisco Lindor,False,0,True,True,False
2025-04-26,wf_probability_top,Walk-forward probability top,Select the highest probability hitter from the walk-forward opportunity/contact model.,Jarren Duran,BOS,CLE,0.7988513778364085,68.34,4.8,1.0,6,N,False,1,True,True,Jarren Duran + Alex Bregman,0,Jarren Duran,False,1,Alex Bregman,False,1,True,True,True
2025-04-26,wf_volume_floor,Probability with volume floor,"Prefer hitters with PA/G >= 4.2 and expected PA >= 4.1, then sort by walk-forward probability.",Jarren Duran,BOS,CLE,0.7988513778364085,68.34,4.8,1.0,6,N,False,1,True,True,Jarren Duran + Alex Bregman,0,Jarren Duran,False,1,Alex Bregman,False,1,True,True,True
2025-04-26,wf_low_stop_floor,Probability with volume + stop floor,Apply the volume floor and require six or fewer stop valves when possible.,Jarren Duran,BOS,CLE,0.7988513778364085,68.34,4.8,1.0,6,N,False,1,True,True,Jarren Duran + Alex Bregman,0,Jarren Duran,False,1,Alex Bregman,False,1,True,True,True
2025-04-26,wf_top5_safety_blend,Top-5 safety blend,"Take the model top 5, then rerank by opportunity/contact safety factors.",Jarren Duran,BOS,CLE,0.7988513778364085,68.34,4.8,1.0,6,N,False,1,True,True,Jarren Duran + Agustín Ramírez,0,Jarren Duran,False,1,Agustín Ramírez,False,0,True,True,False
2025-04-26,wf_top8_safety_floor,Top-8 safety blend with floor,"Take the model top 8, apply PA and stop-count floors when possible, then rerank by safety.",Jarren Duran,BOS,CLE,0.7988513778364085,68.34,4.8,1.0,6,N,False,1,True,True,Jarren Duran + Steven Kwan,1,Jarren Duran,False,1,Steven Kwan,True,1,True,True,True
2025-04-26,bob_score_volume_floor,Bob score with volume floor,Primary Bob score baseline after a PA volume floor.,Jarren Duran,BOS,CLE,0.7988513778364085,68.34,4.8,1.0,6,N,False,1,True,True,Jarren Duran + Francisco Lindor,0,Jarren Duran,False,1,Francisco Lindor,False,1,True,True,True
2025-04-27,wf_probability_top,Walk-forward probability top,Select the highest probability hitter from the walk-forward opportunity/contact model.,Agustín Ramírez,MIA,SEA,0.8038036212734782,58.03,4.6,3.0,5,N,False,1,True,True,Agustín Ramírez + TJ Friedl,0,Agustín Ramírez,False,1,TJ Friedl,False,1,True,True,True
2025-04-27,wf_volume_floor,Probability with volume floor,"Prefer hitters with PA/G >= 4.2 and expected PA >= 4.1, then sort by walk-forward probability.",TJ Friedl,CIN,COL,0.7952200750024321,59.64,4.8,1.0,4,N,False,1,True,True,TJ Friedl + Xavier Edwards,1,TJ Friedl,False,1,Xavier Edwards,True,0,True,True,False
2025-04-27,wf_low_stop_floor,Probability with volume + stop floor,Apply the volume floor and require six or fewer stop valves when possible.,TJ Friedl,CIN,COL,0.7952200750024321,59.64,4.8,1.0,4,N,False,1,True,True,TJ Friedl + Xavier Edwards,1,TJ Friedl,False,1,Xavier Edwards,True,0,True,True,False
2025-04-27,wf_top5_safety_blend,Top-5 safety blend,"Take the model top 5, then rerank by opportunity/contact safety factors.",Xavier Edwards,MIA,SEA,0.7595376878727038,61.76,4.8,1.0,2,N,True,0,True,False,Xavier Edwards + TJ Friedl,1,Xavier Edwards,True,0,TJ Friedl,False,1,True,True,False
2025-04-27,wf_top8_safety_floor,Top-8 safety blend with floor,"Take the model top 8, apply PA and stop-count floors when possible, then rerank by safety.",Xavier Edwards,MIA,SEA,0.7595376878727038,61.76,4.8,1.0,2,N,True,0,True,False,Xavier Edwards + Francisco Lindor,1,Xavier Edwards,True,0,Francisco Lindor,False,1,True,True,False
2025-04-27,bob_score_volume_floor,Bob score with volume floor,Primary Bob score baseline after a PA volume floor.,Francisco Lindor,NYM,WSN,0.7459150827200216,63.56,4.8,1.0,2,N,False,1,True,True,Francisco Lindor + Xavier Edwards,1,Francisco Lindor,False,1,Xavier Edwards,True,0,True,True,False
2025-04-28,wf_probability_top,Walk-forward probability top,Select the highest probability hitter from the walk-forward opportunity/contact model.,Alex Verdugo,ATL,COL,0.7647590552624055,58.3,4.8,1.0,5,N,False,1,True,True,Alex Verdugo + Agustín Ramírez,0,Alex Verdugo,False,1,Agustín Ramírez,False,0,True,True,False
2025-04-28,wf_volume_floor,Probability with volume floor,"Prefer hitters with PA/G >= 4.2 and expected PA >= 4.1, then sort by walk-forward probability.",Alex Verdugo,ATL,COL,0.7647590552624055,58.3,4.8,1.0,5,N,False,1,True,True,Alex Verdugo + Agustín Ramírez,0,Alex Verdugo,False,1,Agustín Ramírez,False,0,True,True,False
2025-04-28,wf_low_stop_floor,Probability with volume + stop floor,Apply the volume floor and require six or fewer stop valves when possible.,Alex Verdugo,ATL,COL,0.7647590552624055,58.3,4.8,1.0,5,N,False,1,True,True,Alex Verdugo + Agustín Ramírez,0,Alex Verdugo,False,1,Agustín Ramírez,False,0,True,True,False
2025-04-28,wf_top5_safety_blend,Top-5 safety blend,"Take the model top 5, then rerank by opportunity/contact safety factors.",Alex Verdugo,ATL,COL,0.7647590552624055,58.3,4.8,1.0,5,N,False,1,True,True,Alex Verdugo + Agustín Ramírez,0,Alex Verdugo,False,1,Agustín Ramírez,False,0,True,True,False
2025-04-28,wf_top8_safety_floor,Top-8 safety blend with floor,"Take the model top 8, apply PA and stop-count floors when possible, then rerank by safety.",Alex Verdugo,ATL,COL,0.7647590552624055,58.3,4.8,1.0,5,N,False,1,True,True,Alex Verdugo + TJ Friedl,0,Alex Verdugo,False,1,TJ Friedl,False,0,True,True,False
2025-04-28,bob_score_volume_floor,Bob score with volume floor,Primary Bob score baseline after a PA volume floor.,Aaron Judge,NYY,BAL,0.7267225878394458,65.12,4.7,2.0,8,N,False,1,True,True,Aaron Judge + Lawrence Butler,0,Aaron Judge,False,1,Lawrence Butler,False,0,True,True,False
2025-04-29,wf_probability_top,Walk-forward probability top,Select the highest probability hitter from the walk-forward opportunity/contact model.,Alex Verdugo,ATL,COL,0.8248705934959525,66.69,4.8,1.0,3,N,False,1,True,True,Alex Verdugo + Cody Bellinger,0,Alex Verdugo,False,1,Cody Bellinger,False,1,True,True,True
2025-04-29,wf_volume_floor,Probability with volume floor,"Prefer hitters with PA/G >= 4.2 and expected PA >= 4.1, then sort by walk-forward probability.",Alex Verdugo,ATL,COL,0.8248705934959525,66.69,4.8,1.0,3,N,False,1,True,True,Alex Verdugo + Jackson Chourio,0,Alex Verdugo,False,1,Jackson Chourio,False,1,True,True,True
2025-04-29,wf_low_stop_floor,Probability with volume + stop floor,Apply the volume floor and require six or fewer stop valves when possible.,Alex Verdugo,ATL,COL,0.8248705934959525,66.69,4.8,1.0,3,N,False,1,True,True,Alex Verdugo + Jackson Chourio,0,Alex Verdugo,False,1,Jackson Chourio,False,1,True,True,True
2025-04-29,wf_top5_safety_blend,Top-5 safety blend,"Take the model top 5, then rerank by opportunity/contact safety factors.",Alex Verdugo,ATL,COL,0.8248705934959525,66.69,4.8,1.0,3,N,False,1,True,True,Alex Verdugo + Cody Bellinger,0,Alex Verdugo,False,1,Cody Bellinger,False,1,True,True,True
2025-04-29,wf_top8_safety_floor,Top-8 safety blend with floor,"Take the model top 8, apply PA and stop-count floors when possible, then rerank by safety.",Alex Verdugo,ATL,COL,0.8248705934959525,66.69,4.8,1.0,3,N,False,1,True,True,Alex Verdugo,0,Alex Verdugo,False,1,,False,,False,False,False
2025-04-29,bob_score_volume_floor,Bob score with volume floor,Primary Bob score baseline after a PA volume floor.,Alex Verdugo,ATL,COL,0.8248705934959525,66.69,4.8,1.0,3,N,False,1,True,True,Alex Verdugo + Julio Rodríguez,0,Alex Verdugo,False,1,Julio Rodríguez,False,1,True,True,True
2025-04-30,wf_probability_top,Walk-forward probability top,Select the highest probability hitter from the walk-forward opportunity/contact model.,Yohel Pozo,STL,CIN,0.8746133017045474,56.55,4.8,1.0,6,N,False,0,True,False,Yohel Pozo + Masyn Winn,0,Yohel Pozo,False,0,Masyn Winn,False,1,True,True,False
2025-04-30,wf_volume_floor,Probability with volume floor,"Prefer hitters with PA/G >= 4.2 and expected PA >= 4.1, then sort by walk-forward probability.",Chandler Simpson,TBR,KCR,0.7849990012347204,54.44,4.8,1.0,5,N,False,0,True,False,Chandler Simpson + Yandy Díaz,1,Chandler Simpson,False,0,Yandy Díaz,True,1,True,True,False
2025-04-30,wf_low_stop_floor,Probability with volume + stop floor,Apply the volume floor and require six or fewer stop valves when possible.,Chandler Simpson,TBR,KCR,0.7849990012347204,54.44,4.8,1.0,5,N,False,0,True,False,Chandler Simpson + Yandy Díaz,1,Chandler Simpson,False,0,Yandy Díaz,True,1,True,True,False
2025-04-30,wf_top5_safety_blend,Top-5 safety blend,"Take the model top 5, then rerank by opportunity/contact safety factors.",Yohel Pozo,STL,CIN,0.8746133017045474,56.55,4.8,1.0,6,N,False,0,True,False,Yohel Pozo + Masyn Winn,0,Yohel Pozo,False,0,Masyn Winn,False,1,True,True,False
2025-04-30,wf_top8_safety_floor,Top-8 safety blend with floor,"Take the model top 8, apply PA and stop-count floors when possible, then rerank by safety.",Chandler Simpson,TBR,KCR,0.7849990012347204,54.44,4.8,1.0,5,N,False,0,True,False,Chandler Simpson,0,Chandler Simpson,False,0,,False,,False,False,False
2025-04-30,bob_score_volume_floor,Bob score with volume floor,Primary Bob score baseline after a PA volume floor.,Aaron Judge,NYY,BAL,0.7368495486824429,69.5,4.6,3.0,8,N,False,1,True,True,Aaron Judge + Shohei Ohtani,0,Aaron Judge,False,1,Shohei Ohtani,False,1,True,True,True
2025-05-01,wf_probability_top,Walk-forward probability top,Select the highest probability hitter from the walk-forward opportunity/contact model.,Jarren Duran,BOS,TOR,0.7606070475379771,63.71,4.8,1.0,4,N,False,1,True,True,Jarren Duran + Chandler Simpson,0,Jarren Duran,False,1,Chandler Simpson,False,1,True,True,True
2025-05-01,wf_volume_floor,Probability with volume floor,"Prefer hitters with PA/G >= 4.2 and expected PA >= 4.1, then sort by walk-forward probability.",Jarren Duran,BOS,TOR,0.7606070475379771,63.71,4.8,1.0,4,N,False,1,True,True,Jarren Duran + Chandler Simpson,0,Jarren Duran,False,1,Chandler Simpson,False,1,True,True,True
2025-05-01,wf_low_stop_floor,Probability with volume + stop floor,Apply the volume floor and require six or fewer stop valves when possible.,Jarren Duran,BOS,TOR,0.7606070475379771,63.71,4.8,1.0,4,N,False,1,True,True,Jarren Duran + Chandler Simpson,0,Jarren Duran,False,1,Chandler Simpson,False,1,True,True,True
2025-05-01,wf_top5_safety_blend,Top-5 safety blend,"Take the model top 5, then rerank by opportunity/contact safety factors.",Chandler Simpson,TBR,KCR,0.7505845257806063,54.18,4.8,1.0,4,N,False,1,True,True,Chandler Simpson + Jarren Duran,0,Chandler Simpson,False,1,Jarren Duran,False,1,True,True,True
2025-05-01,wf_top8_safety_floor,Top-8 safety blend with floor,"Take the model top 8, apply PA and stop-count floors when possible, then rerank by safety.",Chandler Simpson,TBR,KCR,0.7505845257806063,54.18,4.8,1.0,4,N,False,1,True,True,Chandler Simpson + Jarren Duran,0,Chandler Simpson,False,1,Jarren Duran,False,1,True,True,True
2025-05-01,bob_score_volume_floor,Bob score with volume floor,Primary Bob score baseline after a PA volume floor.,Trea Turner,PHI,WSN,0.7121676048218271,70.47,4.7,2.0,3,N,True,1,True,True,Trea Turner + Jarren Duran,1,Trea Turner,True,1,Jarren Duran,False,1,True,True,True
2025-05-02,wf_probability_top,Walk-forward probability top,Select the highest probability hitter from the walk-forward opportunity/contact model.,Xavier Edwards,MIA,ATH,0.7447142615424898,58.49,4.8,1.0,2,N,True,1,True,True,Xavier Edwards + Jung Hoo Lee,2,Xavier Edwards,True,1,Jung Hoo Lee,True,1,True,True,True
2025-05-02,wf_volume_floor,Probability with volume floor,"Prefer hitters with PA/G >= 4.2 and expected PA >= 4.1, then sort by walk-forward probability.",Xavier Edwards,MIA,ATH,0.7447142615424898,58.49,4.8,1.0,2,N,True,1,True,True,Xavier Edwards + Francisco Lindor,1,Xavier Edwards,True,1,Francisco Lindor,False,1,True,True,True
2025-05-02,wf_low_stop_floor,Probability with volume + stop floor,Apply the volume floor and require six or fewer stop valves when possible.,Xavier Edwards,MIA,ATH,0.7447142615424898,58.49,4.8,1.0,2,N,True,1,True,True,Xavier Edwards + Francisco Lindor,1,Xavier Edwards,True,1,Francisco Lindor,False,1,True,True,True
2025-05-02,wf_top5_safety_blend,Top-5 safety blend,"Take the model top 5, then rerank by opportunity/contact safety factors.",Xavier Edwards,MIA,ATH,0.7447142615424898,58.49,4.8,1.0,2,N,True,1,True,True,Xavier Edwards + Francisco Lindor,1,Xavier Edwards,True,1,Francisco Lindor,False,1,True,True,True
2025-05-02,wf_top8_safety_floor,Top-8 safety blend with floor,"Take the model top 8, apply PA and stop-count floors when possible, then rerank by safety.",Xavier Edwards,MIA,ATH,0.7447142615424898,58.49,4.8,1.0,2,N,True,1,True,True,Xavier Edwards + Francisco Lindor,1,Xavier Edwards,True,1,Francisco Lindor,False,1,True,True,True
2025-05-02,bob_score_volume_floor,Bob score with volume floor,Primary Bob score baseline after a PA volume floor.,Bo Bichette,TOR,CLE,0.7069545217831198,62.98,4.8,1.0,0,Y,True,0,True,False,Bo Bichette + Kyle Tucker,1,Bo Bichette,True,0,Kyle Tucker,False,1,True,True,False
2025-05-03,wf_probability_top,Walk-forward probability top,Select the highest probability hitter from the walk-forward opportunity/contact model.,Jarren Duran,BOS,MIN,0.7678563592384123,54.06,4.8,1.0,4,N,False,1,True,True,Jarren Duran + Xavier Edwards,1,Jarren Duran,False,1,Xavier Edwards,True,0,True,True,False
2025-05-03,wf_volume_floor,Probability with volume floor,"Prefer hitters with PA/G >= 4.2 and expected PA >= 4.1, then sort by walk-forward probability.",Jarren Duran,BOS,MIN,0.7678563592384123,54.06,4.8,1.0,4,N,False,1,True,True,Jarren Duran + Xavier Edwards,1,Jarren Duran,False,1,Xavier Edwards,True,0,True,True,False
2025-05-03,wf_low_stop_floor,Probability with volume + stop floor,Apply the volume floor and require six or fewer stop valves when possible.,Jarren Duran,BOS,MIN,0.7678563592384123,54.06,4.8,1.0,4,N,False,1,True,True,Jarren Duran + Xavier Edwards,1,Jarren Duran,False,1,Xavier Edwards,True,0,True,True,False
2025-05-03,wf_top5_safety_blend,Top-5 safety blend,"Take the model top 5, then rerank by opportunity/contact safety factors.",Bobby Witt Jr.,KCR,BAL,0.7445378946357063,71.1,4.7,2.0,1,N,True,0,True,False,Bobby Witt Jr. + Francisco Lindor,1,Bobby Witt Jr.,True,0,Francisco Lindor,False,,False,False,False
2025-05-03,wf_top8_safety_floor,Top-8 safety blend with floor,"Take the model top 8, apply PA and stop-count floors when possible, then rerank by safety.",Francisco Lindor,NYM,STL,0.7443143497806675,60.38,4.8,1.0,2,N,False,,False,False,Francisco Lindor + Jarren Duran,0,Francisco Lindor,False,,Jarren Duran,False,1,False,False,False
2025-05-03,bob_score_volume_floor,Bob score with volume floor,Primary Bob score baseline after a PA volume floor.,Julio Rodríguez,SEA,TEX,0.7068354914970829,64.86,4.7,2.0,5,N,False,0,True,False,Julio Rodríguez + Jackson Chourio,0,Julio Rodríguez,False,0,Jackson Chourio,False,1,True,True,False
2025-05-04,wf_probability_top,Walk-forward probability top,Select the highest probability hitter from the walk-forward opportunity/contact model.,Bobby Witt Jr.,KCR,BAL,0.8716353636388977,67.28,4.7,2.0,3,N,True,1,True,True,Bobby Witt Jr. + Vinnie Pasquantino,1,Bobby Witt Jr.,True,1,Vinnie Pasquantino,False,1,True,True,True
2025-05-04,wf_volume_floor,Probability with volume floor,"Prefer hitters with PA/G >= 4.2 and expected PA >= 4.1, then sort by walk-forward probability.",Lars Nootbaar,STL,NYM,0.7975217549739478,44.64,4.8,1.0,9,N,False,0,True,False,Lars Nootbaar + Jarren Duran,0,Lars Nootbaar,False,0,Jarren Duran,False,0,True,False,False
2025-05-04,wf_low_stop_floor,Probability with volume + stop floor,Apply the volume floor and require six or fewer stop valves when possible.,Jarren Duran,BOS,MIN,0.7725228189342699,63.98,4.8,1.0,2,N,False,0,True,False,Jarren Duran + Jose Altuve,0,Jarren Duran,False,0,Jose Altuve,False,0,True,False,False
2025-05-04,wf_top5_safety_blend,Top-5 safety blend,"Take the model top 5, then rerank by opportunity/contact safety factors.",Bobby Witt Jr.,KCR,BAL,0.8716353636388977,67.28,4.7,2.0,3,N,True,1,True,True,Bobby Witt Jr. + Brendan Donovan,1,Bobby Witt Jr.,True,1,Brendan Donovan,False,1,True,True,True
2025-05-04,wf_top8_safety_floor,Top-8 safety blend with floor,"Take the model top 8, apply PA and stop-count floors when possible, then rerank by safety.",Jarren Duran,BOS,MIN,0.7725228189342699,63.98,4.8,1.0,2,N,False,0,True,False,Jarren Duran,0,Jarren Duran,False,0,,False,,False,False,False
2025-05-04,bob_score_volume_floor,Bob score with volume floor,Primary Bob score baseline after a PA volume floor.,Jarren Duran,BOS,MIN,0.7725228189342699,63.98,4.8,1.0,2,N,False,0,True,False,Jarren Duran + Francisco Lindor,0,Jarren Duran,False,0,Francisco Lindor,False,1,True,True,False
2025-05-05,wf_probability_top,Walk-forward probability top,Select the highest probability hitter from the walk-forward opportunity/contact model.,Steven Kwan,CLE,WSN,0.7608914290663599,62.71,4.8,1.0,2,N,True,,False,False,Steven Kwan + Jacob Wilson,1,Steven Kwan,True,,Jacob Wilson,False,1,False,False,False
2025-05-05,wf_volume_floor,Probability with volume floor,"Prefer hitters with PA/G >= 4.2 and expected PA >= 4.1, then sort by walk-forward probability.",Steven Kwan,CLE,WSN,0.7608914290663599,62.71,4.8,1.0,2,N,True,,False,False,Steven Kwan + Lawrence Butler,1,Steven Kwan,True,,Lawrence Butler,False,1,False,False,False
2025-05-05,wf_low_stop_floor,Probability with volume + stop floor,Apply the volume floor and require six or fewer stop valves when possible.,Steven Kwan,CLE,WSN,0.7608914290663599,62.71,4.8,1.0,2,N,True,,False,False,Steven Kwan + Alex Verdugo,1,Steven Kwan,True,,Alex Verdugo,False,1,False,False,False
2025-05-05,wf_top5_safety_blend,Top-5 safety blend,"Take the model top 5, then rerank by opportunity/contact safety factors.",Steven Kwan,CLE,WSN,0.7608914290663599,62.71,4.8,1.0,2,N,True,,False,False,Steven Kwan + Alex Verdugo,1,Steven Kwan,True,,Alex Verdugo,False,1,False,False,False
2025-05-05,wf_top8_safety_floor,Top-8 safety blend with floor,"Take the model top 8, apply PA and stop-count floors when possible, then rerank by safety.",Steven Kwan,CLE,WSN,0.7608914290663599,62.71,4.8,1.0,2,N,True,,False,False,Steven Kwan + Alex Verdugo,1,Steven Kwan,True,,Alex Verdugo,False,1,False,False,False
2025-05-05,bob_score_volume_floor,Bob score with volume floor,Primary Bob score baseline after a PA volume floor.,Bryan Reynolds,PIT,STL,0.7160022211464412,64.01,4.7,2.0,5,N,False,1,True,True,Bryan Reynolds + Steven Kwan,1,Bryan Reynolds,False,1,Steven Kwan,True,,False,False,False
2025-05-06,wf_probability_top,Walk-forward probability top,Select the highest probability hitter from the walk-forward opportunity/contact model.,Hyeseong Kim,LAD,MIA,0.7599181640188297,65.26,3.7,9.0,2,N,False,1,True,True,Hyeseong Kim + Jacob Wilson,0,Hyeseong Kim,False,1,Jacob Wilson,False,1,True,True,True
2025-05-06,wf_volume_floor,Probability with volume floor,"Prefer hitters with PA/G >= 4.2 and expected PA >= 4.1, then sort by walk-forward probability.",Steven Kwan,CLE,WSN,0.7462314582547656,63.21,4.8,1.0,3,N,True,1,True,True,Steven Kwan + Shohei Ohtani,1,Steven Kwan,True,1,Shohei Ohtani,False,1,True,True,True
2025-05-06,wf_low_stop_floor,Probability with volume + stop floor,Apply the volume floor and require six or fewer stop valves when possible.,Steven Kwan,CLE,WSN,0.7462314582547656,63.21,4.8,1.0,3,N,True,1,True,True,Steven Kwan + Francisco Lindor,1,Steven Kwan,True,1,Francisco Lindor,False,0,True,True,False
2025-05-06,wf_top5_safety_blend,Top-5 safety blend,"Take the model top 5, then rerank by opportunity/contact safety factors.",Steven Kwan,CLE,WSN,0.7462314582547656,63.21,4.8,1.0,3,N,True,1,True,True,Steven Kwan + Hyeseong Kim,1,Steven Kwan,True,1,Hyeseong Kim,False,1,True,True,True
2025-05-06,wf_top8_safety_floor,Top-8 safety blend with floor,"Take the model top 8, apply PA and stop-count floors when possible, then rerank by safety.",Francisco Lindor,NYM,ARI,0.7350059386703682,56.16,4.8,1.0,1,N,False,0,True,False,Francisco Lindor + Steven Kwan,1,Francisco Lindor,False,0,Steven Kwan,True,1,True,True,False
2025-05-06,bob_score_volume_floor,Bob score with volume floor,Primary Bob score baseline after a PA volume floor.,Shohei Ohtani,LAD,MIA,0.7359264613351241,67.61,4.8,1.0,8,N,False,1,True,True,Shohei Ohtani + Steven Kwan,1,Shohei Ohtani,False,1,Steven Kwan,True,1,True,True,True
2025-05-07,wf_probability_top,Walk-forward probability top,Select the highest probability hitter from the walk-forward opportunity/contact model.,Julio Rodríguez,SEA,ATH,0.7570886024457433,64.22,4.6,3.0,5,N,False,1,True,True,Julio Rodríguez + Bobby Witt Jr.,1,Julio Rodríguez,False,1,Bobby Witt Jr.,True,1,True,True,True
2025-05-07,wf_volume_floor,Probability with volume floor,"Prefer hitters with PA/G >= 4.2 and expected PA >= 4.1, then sort by walk-forward probability.",Julio Rodríguez,SEA,ATH,0.7570886024457433,64.22,4.6,3.0,5,N,False,1,True,True,Julio Rodríguez + Bobby Witt Jr.,1,Julio Rodríguez,False,1,Bobby Witt Jr.,True,1,True,True,True
2025-05-07,wf_low_stop_floor,Probability with volume + stop floor,Apply the volume floor and require six or fewer stop valves when possible.,Julio Rodríguez,SEA,ATH,0.7570886024457433,64.22,4.6,3.0,5,N,False,1,True,True,Julio Rodríguez + Bobby Witt Jr.,1,Julio Rodríguez,False,1,Bobby Witt Jr.,True,1,True,True,True
2025-05-07,wf_top5_safety_blend,Top-5 safety blend,"Take the model top 5, then rerank by opportunity/contact safety factors.",Bobby Witt Jr.,KCR,CHW,0.7513675409716294,64.57,4.7,2.0,0,Y,True,1,True,True,Bobby Witt Jr. + Julio Rodríguez,1,Bobby Witt Jr.,True,1,Julio Rodríguez,False,1,True,True,True
2025-05-07,wf_top8_safety_floor,Top-8 safety blend with floor,"Take the model top 8, apply PA and stop-count floors when possible, then rerank by safety.",Bobby Witt Jr.,KCR,CHW,0.7513675409716294,64.57,4.7,2.0,0,Y,True,1,True,True,Bobby Witt Jr. + Steven Kwan,2,Bobby Witt Jr.,True,1,Steven Kwan,True,1,True,True,True
2025-05-07,bob_score_volume_floor,Bob score with volume floor,Primary Bob score baseline after a PA volume floor.,Vladimir Guerrero Jr.,TOR,LAA,0.7111064594630934,68.09,4.7,2.0,3,N,True,1,True,True,Vladimir Guerrero Jr. + Shohei Ohtani,1,Vladimir Guerrero Jr.,True,1,Shohei Ohtani,False,1,True,True,True
2025-05-08,wf_probability_top,Walk-forward probability top,Select the highest probability hitter from the walk-forward opportunity/contact model.,Freddie Freeman,LAD,ARI,0.7463832692630702,62.87,4.6,3.0,3,N,True,1,True,True,Freddie Freeman + Gleyber Torres,1,Freddie Freeman,True,1,Gleyber Torres,False,1,True,True,True
